x,y,lon,lat,country,name,thr
52.0133333333333,155.666666666667,-17.7644444444444,14.7525252525253,Pelagic,square_Pelagic_lat14.5N_lon17.5E,0.9
84.6533333333333,154.146666666667,-17.1244444444444,14.7813131313131,Senegal,square_Senegal_lat14.5N_lon17.5E,0.9
117.379310344828,115.264367816092,-16.4827586206897,15.5177203065134,Senegal,square_Senegal_lat15.5N_lon16.5E,0.9
116.914634146341,167.987804878049,-16.4918699186992,14.5191703621582,Senegal,square_Senegal_lat14.5N_lon16.5E,0.9
127.373493975904,205.168674698795,-16.2867942357666,13.8149872216137,Senegal,square_Senegal_lat13.5N_lon16.5E,0.9
127.759493670886,228.721518987342,-16.2792256142964,13.3689106252397,Gambia,square_Gambia_lat13.5N_lon16.5E,0.8
127.451219512195,262.048780487805,-16.2852702056432,12.7377124907613,Senegal,square_Senegal_lat12.5N_lon16.5E,0.9
132.395604395604,76.3406593406593,-16.1883214824391,16.2549117549118,Senegal,square_Senegal_lat16.5N_lon16.5E,0.9
162.40490797546,222.294478527607,-15.5999037651871,13.4906348763711,Gambia,square_Gambia_lat13.5N_lon15.5E,0.9
167.02380952381,167.321428571429,-15.5093370681606,14.5317911255411,Senegal,square_Senegal_lat14.5N_lon15.5E,0.9
168.767441860465,203.77519379845,-15.4751481988144,13.8413789053324,Senegal,square_Senegal_lat13.5N_lon15.5E,0.9
167.775280898876,115.134831460674,-15.4946023353161,15.5201736465781,Senegal,square_Senegal_lat15.5N_lon15.5E,0.9
168.411764705882,261.023529411765,-15.482122260669,12.7571301247772,Senegal,square_Senegal_lat12.5N_lon15.5E,0.9
169.367816091954,75.9195402298851,-15.4633761550597,16.2628874956461,Senegal,square_Senegal_lat16.5N_lon15.5E,0.9
218.868613138686,225.890510948905,-14.4927722913983,13.4225282017253,Gambia,square_Gambia_lat13.5N_lon14.5E,0.8
218.792682926829,74.8414634146341,-14.4942611190818,16.2833056171471,Senegal,square_Senegal_lat16.5N_lon14.5E,0.9
218.928571428571,258.738095238095,-14.4915966386555,12.8004148629149,Senegal,square_Senegal_lat12.5N_lon14.5E,0.9
219.641025641026,167.75641025641,-14.4776269482152,14.5235528360528,Senegal,square_Senegal_lat14.5N_lon14.5E,0.9
220.62962962963,116.592592592593,-14.4582425562818,15.4925645342312,Senegal,square_Senegal_lat15.5N_lon14.5E,0.9
220.658227848101,206.20253164557,-14.4576818069,13.7954065976218,Senegal,square_Senegal_lat13.5N_lon14.5E,0.9
244.148648648649,225.716216216216,-13.9970853206147,13.4258292383292,Gambia,square_Gambia_lat13.5N_lon13.5E,0.8
249.905263157895,89.1473684210526,-13.8842105263158,16.012360446571,Senegal,square_Senegal_lat16.5N_lon13.5E,0.7
269.555555555556,259.530864197531,-13.4989106753813,12.7854002992892,Senegal,square_Senegal_lat12.5N_lon13.5E,0.9
269.379746835443,117.253164556962,-13.5023579051874,15.4800537015727,Senegal,square_Senegal_lat15.5N_lon13.5E,0.9
269.772151898734,167.607594936709,-13.4946636882601,14.5263713080169,Senegal,square_Senegal_lat14.5N_lon13.5E,0.9
269.607594936709,221.354430379747,-13.4978902953587,13.5084388185654,Senegal,square_Senegal_lat13.5N_lon13.5E,0.9
299.542168674699,139.879518072289,-12.9109378691236,15.0515242789339,Senegal,square_Senegal_lat15.5N_lon12.5E,0.75
317.475609756098,168.865853658537,-12.5593017694883,14.5025406504065,Senegal,square_Senegal_lat14.5N_lon12.5E,0.9
317.77380952381,221.392857142857,-12.5534547152194,13.507711038961,Senegal,square_Senegal_lat13.5N_lon12.5E,0.9
318.772151898734,264.46835443038,-12.5338793745346,12.6918872266974,Senegal,square_Senegal_lat12.5N_lon12.5E,0.9
361.102272727273,239.715909090909,-11.7038770053476,13.1606835399449,Senegal,square_Senegal_lat13.5N_lon11.5E,0.9
362.132530120482,263.433734939759,-11.6836758799906,12.7114822928076,Senegal,square_Senegal_lat12.5N_lon11.5E,0.9
