map_index,original_name,corrected_name,family,doubtful,identified_by_sight,spp,has_map,map
273,Oena capensis,,Columbidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_083_1
274,Turtur tympanistria,,Columbidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_083_2
275,Turtur afer,,Columbidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_083_3
276,Turtur abyssinicus,,Columbidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_083_4
277,Treron australis,Treron calvus,Columbidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_083_5
278,Treron waalia,,Columbidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_084_1
279,Poicephalus robustus,Poicephalus fuscicollis,Psittacidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_084_2
280,Poicephalus senegadlus,,Psittacidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_084_3
281,Psittacula krameri,,Psittacidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_084_4
282,Tauraco persa,,Musophagidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_084_5
283,Musophaga violacea,,Musophagidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_084_6
284,Crinifer piscator,,Musophagidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_085_1
285,Clamator glandarius,,Cuculidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_085_2
286,Clamator jacobinus,,Cuculidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_085_3
287,Clamator levaillanti,,Cuculidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_085_4
288,Cuculus solitarius,,Cuculidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_085_5
